"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-01","2009","01","01","","-23.3","","-38.8","","-31.1","","49.1","","0.0","","0.0","","0.6","","0.0","T","71","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-02","2009","01","02","","-32.1","","-45.3","","-38.7","","56.7","","0.0","","0.0","","0.0","T","0.0","T","71","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-03","2009","01","03","","-32.5","","-41.9","","-37.2","","55.2","","0.0","","0.0","","1.8","","2.2","","71","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-04","2009","01","04","","-26.0","","-34.5","","-30.3","","48.3","","0.0","","0.0","","6.2","","6.0","","71","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-05","2009","01","05","","-24.3","","-37.4","","-30.9","","48.9","","0.0","","0.0","","2.8","","2.0","","75","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-06","2009","01","06","","-27.5","","-35.7","","-31.6","","49.6","","0.0","","0.0","","1.6","","2.0","","76","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-07","2009","01","07","","-28.6","","-42.5","","-35.6","","53.6","","0.0","","0.0","","0.0","T","0.0","T","79","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-08","2009","01","08","","-31.1","","-39.0","","-35.1","","53.1","","0.0","","0.0","","0.4","","0.0","T","79","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-09","2009","01","09","","-25.6","","-31.7","","-28.7","","46.7","","0.0","","0.0","","5.0","","4.6","","78","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-10","2009","01","10","","-22.0","","-27.3","","-24.7","","42.7","","0.0","","0.0","","7.2","","2.8","","83","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-11","2009","01","11","","-17.7","","-23.3","","-20.5","","38.5","","0.0","","0.0","","7.2","","2.4","","90","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-12","2009","01","12","","-16.8","","-22.0","","-19.4","","37.4","","0.0","","0.0","","9.2","","7.4","","92","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-13","2009","01","13","","-14.0","","-22.6","","-18.3","","36.3","","0.0","","0.0","","0.6","","0.6","","96","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-14","2009","01","14","","-10.3","","-17.8","","-14.1","","32.1","","0.0","","0.0","","5.2","","4.2","","97","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-15","2009","01","15","","-15.0","","-24.4","","-19.7","","37.7","","0.0","","0.0","","0.0","","0.0","","97","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-16","2009","01","16","","-15.0","","-21.5","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","97","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-17","2009","01","17","","-11.7","","-19.9","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","93","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-18","2009","01","18","","-13.4","","-22.4","","-17.9","","35.9","","0.0","","0.0","","0.0","","0.0","","93","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-19","2009","01","19","","-10.2","","-24.7","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","92","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-20","2009","01","20","","-5.8","","-14.4","","-10.1","","28.1","","0.0","","0.0","","0.0","","0.0","","92","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-21","2009","01","21","","-2.2","","-16.4","","-9.3","","27.3","","0.0","","0.0","","3.2","","2.6","","89","","8","E","32","E"
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-22","2009","01","22","","-16.0","","-34.2","","-25.1","","43.1","","0.0","","0.0","","0.2","","0.0","T","86","","12","E","37","E"
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-23","2009","01","23","","-30.5","","-44.5","","-37.5","","55.5","","0.0","","0.0","","0.0","","0.0","","86","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-24","2009","01","24","","-33.2","","-47.6","","-40.4","","58.4","","0.0","","0.0","","0.0","","0.0","","84","","","","<31",""
"-128.82","60.12","WATSON LAKE A","2101200","2009-01-25","2009","01","25","","-33.8","","-45.5","","-39.7","","57.7","","0.0","","0.0","","0.0","","0.0","","84","","","","<31",""
