"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-01","2009","01","01","","-33.7","","-36.1","","-34.9","","52.9","","0.0","","","M","","M","","M","7","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-02","2009","01","02","","-32.7","","-36.2","","-34.5","","52.5","","0.0","","","M","","M","","M","7","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-03","2009","01","03","","-26.4","","-34.3","","-30.4","","48.4","","0.0","","","M","","M","","M","6","","15","","32",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-04","2009","01","04","","-18.7","","-29.2","","-24.0","","42.0","","0.0","","","M","","M","","M","7","","2","","54",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-05","2009","01","05","","-20.3","","-23.7","","-22.0","","40.0","","0.0","","","M","","M","","M","7","","1","","54",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-06","2009","01","06","","-23.1","","-36.1","","-29.6","","47.6","","0.0","","","M","","M","","M","7","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-07","2009","01","07","","-28.5","","-36.4","","-32.5","","50.5","","0.0","","","M","","M","","M","7","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-08","2009","01","08","","-26.5","","-30.1","","-28.3","","46.3","","0.0","","","M","","M","","M","6","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-09","2009","01","09","","-28.5","","-33.6","","-31.1","","49.1","","0.0","","","M","","M","","M","7","","17","","33",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-10","2009","01","10","","-32.5","","-37.4","","-35.0","","53.0","","0.0","","","M","","M","","M","6","","20","","32",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-11","2009","01","11","","-25.3","","-38.2","","-31.8","","49.8","","0.0","","","M","","M","","M","6","","22","","44",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-12","2009","01","12","","-32.3","E","-35.2","E","-33.8","E","51.8","E","0.0","E","","M","","M","","M","6","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-13","2009","01","13","","-16.0","","-31.6","","-23.8","","41.8","","0.0","","","M","","M","","M","6","","23","","72",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-14","2009","01","14","","-7.8","","-22.8","","-15.3","","33.3","","0.0","","","M","","M","","M","7","","24","","76",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-15","2009","01","15","","5.8","","-8.5","","-1.4","","19.4","","0.0","","","M","","M","","M","6","","21","","67",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-16","2009","01","16","","5.4","","-10.8","","-2.7","","20.7","","0.0","","","M","","M","","M","4","","23","","43",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-17","2009","01","17","","6.5","","-10.6","","-2.1","","20.1","","0.0","","","M","","M","","M","3","","21","","80",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-18","2009","01","18","","3.8","","-12.9","","-4.6","","22.6","","0.0","","","M","","M","","M","1","","23","","56",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-19","2009","01","19","","-12.5","","-18.9","","-15.7","","33.7","","0.0","","","M","","M","","M","4","","1","","32",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-20","2009","01","20","","-17.7","","-31.1","","-24.4","","42.4","","0.0","","","M","","M","","M","9","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-21","2009","01","21","","-29.2","","-34.9","","-32.1","","50.1","","0.0","","","M","","M","","M","7","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-22","2009","01","22","","-18.0","","-31.4","","-24.7","","42.7","","0.0","","","M","","M","","M","2","","23","","69",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-23","2009","01","23","","-13.2","","-19.2","","-16.2","","34.2","","0.0","","","M","","M","","M","2","","23","","70",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-24","2009","01","24","","-12.9","","-18.8","","-15.9","","33.9","","0.0","","","M","","M","","M","1","","24","","74",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-25","2009","01","25","","-17.4","","-23.4","","-20.4","","38.4","","0.0","","","M","","M","","M","1","","24","","57",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-26","2009","01","26","","-21.9","","-31.1","","-26.5","","44.5","","0.0","","","M","","M","","M","1","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-27","2009","01","27","","-24.6","","-30.4","","-27.5","","45.5","","0.0","","","M","","M","","M","1","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-28","2009","01","28","","-29.2","","-37.6","","-33.4","","51.4","","0.0","","","M","","M","","M","","","26","","52",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-29","2009","01","29","","-29.9","","-37.8","","-33.9","","51.9","","0.0","","","M","","M","","M","1","","28","","48",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-30","2009","01","30","","-36.6","","-38.5","","-37.6","","55.6","","0.0","","","M","","M","","M","1","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-01-31","2009","01","31","","-24.9","","-37.5","","-31.2","","49.2","","0.0","","","M","","M","","M","1","","25","","41",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-01","2009","02","01","","-25.1","","-36.2","","-30.7","","48.7","","0.0","","","M","","M","","M","1","","25","","46",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-02","2009","02","02","","-31.7","","-37.9","","-34.8","","52.8","","0.0","","","M","","M","","M","1","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-03","2009","02","03","","-29.5","","-32.5","","-31.0","","49.0","","0.0","","","M","","M","","M","1","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-04","2009","02","04","","-24.4","","-29.7","","-27.1","","45.1","","0.0","","","M","","M","","M","1","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-05","2009","02","05","","-22.5","","-30.1","","-26.3","","44.3","","0.0","","","M","","M","","M","2","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-06","2009","02","06","","-23.1","","-30.4","","-26.8","","44.8","","0.0","","","M","","M","","M","1","","26","","46",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-07","2009","02","07","","","M","-30.4","E","","M","","M","","M","","M","","M","","M","1","","","M","","M"
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-08","2009","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-09","2009","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-10","2009","02","10","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-11","2009","02","11","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-140.15","69.16","IVVAVIK NAT. PARK","2100660","2009-02-12","2009","02","12","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
