"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-01","2009","01","01","","-35.5","","-39.5","","-37.5","","55.5","","0.0","","","M","","M","","M","40","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-02","2009","01","02","","-30.5","","-38.1","","-34.3","","52.3","","0.0","","","M","","M","","M","40","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-03","2009","01","03","","-29.8","","-38.8","","-34.3","","52.3","","0.0","","","M","","M","","M","39","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-04","2009","01","04","","-26.5","","-34.8","","-30.7","","48.7","","0.0","","","M","","M","","M","41","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-05","2009","01","05","","-26.7","","-35.0","","-30.9","","48.9","","0.0","","","M","","M","","M","40","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-06","2009","01","06","","-32.6","","-37.2","","-34.9","","52.9","","0.0","","","M","","M","","M","40","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-07","2009","01","07","","-20.4","","-35.4","","-27.9","","45.9","","0.0","","","M","","M","","M","40","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-08","2009","01","08","","-20.2","","-37.0","","-28.6","","46.6","","0.0","","","M","","M","","M","41","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-09","2009","01","09","","-35.1","","-40.6","","-37.9","","55.9","","0.0","","","M","","M","","M","41","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-10","2009","01","10","","-37.7","","-41.4","","-39.6","","57.6","","0.0","","","M","","M","","M","51","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-11","2009","01","11","","-35.1","","-39.1","","-37.1","","55.1","","0.0","","","M","","M","","M","40","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-12","2009","01","12","","-29.8","","-38.5","","-34.2","","52.2","","0.0","","","M","","M","","M","41","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-13","2009","01","13","","-30.8","","-33.9","","-32.4","","50.4","","0.0","","","M","","M","","M","41","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-14","2009","01","14","","-18.2","","-32.0","","-25.1","","43.1","","0.0","","","M","","M","","M","41","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-15","2009","01","15","","3.0","","-18.2","","-7.6","","25.6","","0.0","","","M","","M","","M","42","","23","","65",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-16","2009","01","16","","4.6","","-5.5","","-0.5","","18.5","","0.0","","","M","","M","","M","42","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-17","2009","01","17","","4.3","","-8.3","","-2.0","","20.0","","0.0","","","M","","M","","M","41","","23","","61",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-18","2009","01","18","","-0.3","","-11.6","","-6.0","","24.0","","0.0","","","M","","M","","M","41","","4","","35",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-19","2009","01","19","","-9.8","","-13.9","","-11.9","","29.9","","0.0","","","M","","M","","M","47","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-20","2009","01","20","","-13.7","","-28.7","","-21.2","","39.2","","0.0","","","M","","M","","M","50","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-21","2009","01","21","","-26.7","","-34.9","","-30.8","","48.8","","0.0","","","M","","M","","M","48","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-22","2009","01","22","","-33.0","","-37.6","","-35.3","","53.3","","0.0","","","M","","M","","M","47","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-23","2009","01","23","","-30.2","","-36.1","","-33.2","","51.2","","0.0","","","M","","M","","M","47","","","","<31",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-24","2009","01","24","","","M","-33.6","E","","M","","M","","M","","M","","M","","M","46","","","M","","M"
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-25","2009","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-26","2009","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-27","2009","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-28","2009","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-29","2009","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-30","2009","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-01-31","2009","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-01","2009","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-02","2009","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-03","2009","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-04","2009","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-05","2009","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-06","2009","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-07","2009","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-08","2009","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-09","2009","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-10","2009","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-11","2009","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-12","2009","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-13","2009","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-14","2009","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-15","2009","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-16","2009","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-17","2009","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-18","2009","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-19","2009","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-20","2009","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-21","2009","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-22","2009","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-23","2009","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-24","2009","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-25","2009","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-26","2009","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-27","2009","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-02-28","2009","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-01","2009","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-02","2009","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-03","2009","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-04","2009","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-05","2009","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-06","2009","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-07","2009","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-08","2009","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-09","2009","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-10","2009","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-11","2009","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-12","2009","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-13","2009","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-14","2009","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-15","2009","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-16","2009","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-17","2009","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-18","2009","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-19","2009","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-20","2009","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-21","2009","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-22","2009","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-23","2009","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-24","2009","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-25","2009","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-26","2009","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-27","2009","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-28","2009","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-29","2009","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-30","2009","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-03-31","2009","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-01","2009","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-02","2009","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-03","2009","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-04","2009","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-05","2009","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-06","2009","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-07","2009","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-08","2009","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-09","2009","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-10","2009","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-11","2009","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-12","2009","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-13","2009","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-14","2009","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-15","2009","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-16","2009","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-17","2009","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-18","2009","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-19","2009","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-20","2009","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-21","2009","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-22","2009","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-23","2009","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-24","2009","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-25","2009","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-26","2009","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-27","2009","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-28","2009","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-29","2009","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-04-30","2009","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-01","2009","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-02","2009","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-03","2009","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-04","2009","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-05","2009","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-06","2009","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-07","2009","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-08","2009","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-09","2009","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-10","2009","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-11","2009","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-12","2009","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-13","2009","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-14","2009","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-15","2009","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-16","2009","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-17","2009","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-18","2009","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-140.85","68.80","MARGARET LAKE","2100697","2009-05-19","2009","05","19","","","","","","","","","","","","","","","","","","","","","","",""
