"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-137.58","60.77","HAINES JUNCTION","2100630","2009-01-01","2009","01","01","","-26.1","","-41.9","","-34.0","","52.0","","0.0","","","M","","M","","M","","","","","<31",""
"-137.58","60.77","HAINES JUNCTION","2100630","2009-01-02","2009","01","02","","-29.6","","-42.7","","-36.2","","54.2","","0.0","","","M","","M","","M","","","","","<31",""
"-137.58","60.77","HAINES JUNCTION","2100630","2009-01-03","2009","01","03","","-30.5","","-34.7","","-32.6","","50.6","","0.0","","","M","","M","","M","","","","","<31",""
"-137.58","60.77","HAINES JUNCTION","2100630","2009-01-04","2009","01","04","","-27.0","","-35.5","","-31.3","","49.3","","0.0","","","M","","M","","M","","","33","","54",""
"-137.58","60.77","HAINES JUNCTION","2100630","2009-01-05","2009","01","05","","-26.3","","-30.4","","-28.4","","46.4","","0.0","","","M","","M","","M","","","34","","48",""
"-137.58","60.77","HAINES JUNCTION","2100630","2009-01-06","2009","01","06","","-26.3","","-43.1","","-34.7","","52.7","","0.0","","","M","","M","","M","","","","","<31",""
"-137.58","60.77","HAINES JUNCTION","2100630","2009-01-07","2009","01","07","","-42.5","","-47.5","","-45.0","","63.0","","0.0","","","M","","M","","M","","","","","<31",""
"-137.58","60.77","HAINES JUNCTION","2100630","2009-01-08","2009","01","08","","-32.2","","-48.5","","-40.4","","58.4","","0.0","","","M","","M","","M","","","","","<31",""
"-137.58","60.77","HAINES JUNCTION","2100630","2009-01-09","2009","01","09","","-27.9","","-32.2","","-30.1","","48.1","","0.0","","","M","","M","","M","","","","","<31",""
"-137.58","60.77","HAINES JUNCTION","2100630","2009-01-10","2009","01","10","","-25.7","","-37.2","","-31.5","","49.5","","0.0","","","M","","M","","M","","","","","<31",""
